Estado,2015,2016,Modelo,Erro
Alagoas,66.1,72.4,71.4,1.0
Amapa,68.8,70.5,73.6,-3.2
Amazonas,78.6,84.7,81.9,2.8
Bahia,67.2,69.6,72.3,-2.7
Ceara,80.4,82.8,83.4,-0.6
DF,74.9,79.6,78.8,0.8
Espirito Santo,70.0,74.5,74.7,-0.2
Goias,80.1,84.7,83.1,1.5
M. G. do Sul,64.8,73.6,70.3,3.3
Maranhao,74.5,77.9,78.4,-0.6
Mato Grosso,56.5,60.9,63.3,-2.5
Minas Gerais,75.0,77.2,78.8,-1.7
Para,68.0,73.5,73.0,0.5
Paraiba,71.0,72.7,75.5,-2.8
Parana,75.4,76.3,79.2,-2.9
Pernambuco,84.1,90.9,86.5,4.4
Piaui,72.7,77.3,76.9,0.4
R. G. do Norte,66.1,70.0,71.4,-1.4
R. G. do Sul,65.2,63.2,70.6,-7.5
Rio de Janeiro,76.5,73.7,80.1,-6.4
Rondonia,67.3,80.8,72.4,8.4
Roraima,72.8,77.6,77.0,0.6
Santa Catarina,62.7,77.9,68.5,9.3
Sao Paulo,82.3,84.4,85.0,-0.6
Sergipe,60.5,66.4,66.7,-0.3
Tocantins ,72.6,77.2,76.8,0.3
